id,key,value,type
7370715,highway,unclassified,regular
7370715,oneway,yes,regular
7370718,lit,yes,regular
7370718,name,Schippersgracht,regular
7370718,highway,unclassified,regular
7370719,name,Oudeschans,regular
7370719,oneway,yes,regular
7370719,highway,unclassified,regular
7370721,lit,yes,regular
7370721,name,Schippersgracht,regular
7370721,highway,unclassified,regular
7370722,oneway,yes,regular
7370722,highway,unclassified,regular
7370722,cycleway,opposite,regular
7370723,lit,yes,regular
7370723,oneway,yes,regular
7370723,highway,cycleway,regular
7370724,name,Foeliedwarsstraat,regular
7370724,oneway,yes,regular
7370724,highway,unclassified,regular
7370724,cycleway,opposite,regular
7370725,name,Nieuwe Foeliestraat,regular
7370725,highway,unclassified,regular
7370726,lit,yes,regular
7370726,name,Kadijksplein,regular
7370726,highway,unclassified,regular
7370731,name,Anne Frankstraat,regular
7370731,layer,1,regular
7370731,bridge,yes,regular
7370731,highway,unclassified,regular
7370731,maxspeed,50,regular
7370731,ref,50,bridge
7370731,bridge,Latjesbrug,name
7370732,cycleway,opposite,regular
7370732,highway,residential,regular
7370732,lit,yes,regular
7370732,name,Nieuwe Herengracht,regular
7370732,oneway,yes,regular
7370734,name,Waterlooplein,regular
7370734,oneway,yes,regular
7370734,highway,unclassified,regular
7370734,cycleway,opposite,regular
7370736,lit,yes,regular
7370736,psv,yes,regular
7370736,name,Plantage Parklaan,regular
7370736,gauge,1435,regular
7370736,access,no,regular
7370736,oneway,yes,regular
7370736,highway,service,regular
7370736,railway,tram,regular
7370736,voltage,600,regular
7370736,maxspeed,50,regular
7370736,frequency,0,regular
7370736,electrified,contact_line,regular
7370737,name,Nieuwe Uilenburgerstraat,regular
7370737,oneway,yes,regular
7370737,highway,unclassified,regular
7370737,cycleway,opposite,regular
7370738,name,Korte Keizersstraat,regular
7370738,highway,unclassified,regular
7370740,oneway,yes,regular
7370740,highway,cycleway,regular
7370744,oneway,yes,regular
7370744,highway,unclassified,regular
7370744,cycleway,opposite,regular
7370746,name,Korte Keizersstraat,regular
7370746,highway,unclassified,regular
7370748,name,Peperstraat,regular
7370748,oneway,no,regular
7370748,highway,unclassified,regular
7370748,bridge,Peperbrug,name
7370752,name,Peperstraat,regular
7370752,oneway,no,regular
7370752,highway,unclassified,regular
7370754,highway,unclassified,regular
7370754,name,Recht Boomssloot,regular
7370754,oneway,yes,regular
7370755,bicycle,yes,regular
7370755,highway,unclassified,regular
7370756,foot,yes,regular
7370756,name,Korte Koningsdwarsstraat,regular
7370756,highway,footway,regular
7370757,name,Oudeschans,regular
7370757,oneway,yes,regular
7370757,highway,unclassified,regular
7370757,cycleway,opposite,regular
7370757,bicycle,no,oneway
7370758,access,private,regular
7370758,highway,service,regular
7370759,name,Roetersstraat,regular
7370759,gauge,1435,regular
7370759,highway,tertiary,regular
7370759,railway,tram,regular
7370759,voltage,600,regular
7370759,maxspeed,50,regular
7370759,frequency,0,regular
7370759,electrified,contact_line,regular
7370760,lit,yes,regular
7370760,name,Plantage Kerklaan,regular
7370760,gauge,1435,regular
7370760,tracks,2,regular
7370760,highway,tertiary,regular
7370760,railway,tram,regular
7370760,voltage,600,regular
7370760,cycleway,lane,regular
7370760,maxspeed,50,regular
7370760,frequency,0,regular
7370760,electrified,contact_line,regular
7370760,width,1.50,cycleway
7370760,surface,asphalt,cycleway
7370760,surface:color,red,cycleway
7370764,lit,yes,regular
7370764,name,Nieuwe Kerkstraat,regular
7370764,highway,unclassified,regular
7370764,maxspeed,50,regular
7370765,name,Nieuwe Keizersgracht,regular
7370765,highway,unclassified,regular
7370766,name,Nieuwe Keizersgracht,regular
7370766,oneway,yes,regular
7370766,highway,unclassified,regular
7370766,maxspeed,50,regular
7370768,name,Nieuwe Keizersgracht,regular
7370768,oneway,yes,regular
7370768,highway,unclassified,regular
7370768,maxspeed,30,regular
7370774,oneway,yes,regular
7370774,bicycle,no,regular
7370774,highway,unclassified,regular
7370776,highway,cycleway,regular
7370776,indirect,yes,lit
7370776,oneway,yes,regular
7370776,smoothness,intermediate,regular
7370776,surface,asphalt,regular
7370776,colour,red,surface
7370776,width,1.80,regular
7370778,foot,yes,regular
7370778,name,Peperstraat,regular
7370778,highway,unclassified,regular
7370781,name,'s-Gravenhekje,regular
7370781,highway,unclassified,regular
7370783,name,Kalkmarkt,regular
7370783,highway,unclassified,regular
7370784,name,Schippersstraat,regular
7370784,highway,pedestrian,regular
7370786,highway,unclassified,regular
7370786,name,Buiten Bantammerstraat,regular
7370788,highway,unclassified,regular
7370794,lit,yes,regular
7370794,oneway,yes,regular
7370794,highway,cycleway,regular
7370795,foot,yes,regular
7370795,highway,cycleway,regular
7370795,layer,-1,regular
7370795,lit,yes,regular
7370795,oneway,no,regular
7370795,smoothness,intermediate,regular
